,Open,High,Low,Close,Volume
2019-01-01,39.6106873602357,39.810569146528124,39.19588184467162,39.5,57099838
2019-01-02,39.72594442321425,39.98101605433625,39.4824663605638,39.83309495750997,61847186
2019-01-03,39.76410586632311,40.084749676039905,39.530054392578435,39.76296174317161,74817863
2019-01-04,40.24793714847553,40.644320346737075,39.952476550023185,40.195252279331264,38065499
2019-01-07,41.29497587113065,41.475907226283134,40.97613149686617,41.205319572109765,26635015
2019-01-08,40.990674489593594,41.302451039772016,40.67598831218039,41.0697117670126,65181314
2019-01-09,41.008244068638895,41.110220419860745,40.5596420279336,40.93456100368546,63731266
2019-01-10,42.014227715519525,42.18419576487003,41.54427992159261,42.00094523351548,75586411
2019-01-11,42.51258750419856,42.83229444600195,42.27948522193143,42.538990515842926,63736277
2019-01-14,42.1463183496092,42.59282649552182,41.74790901586944,42.23965573203381,62524496
2019-01-15,42.72053961025658,42.78591954187705,42.344882505989624,42.62711059396947,43239538
2019-01-16,42.24420939751966,42.816209588576406,42.15462052751872,42.331257734461964,19357832
2019-01-17,41.987928740994384,42.44769539797006,41.86849474306623,42.035903175793266,71487805
2019-01-18,42.16476695570838,42.567498422743405,41.881951722288065,42.21795003916103,52179476
2019-01-21,41.05485124665635,41.391877492803715,40.641334261588156,40.96356458998114,40883787
2019-01-22,39.907728393374725,40.01478817797346,39.41563744826972,39.86641809473466,49100068
2019-01-23,39.59750943324608,39.81536178619195,39.291442699143495,39.52714761695415,66112266
2019-01-24,38.85101120174313,39.24664181349931,38.72994608674627,38.90926586695246,55600430
2019-01-25,39.15230671910911,39.532137453542354,38.73966284302457,39.12299402719066,29754093
2019-01-28,38.59267048907029,38.96380116633011,38.25942081954887,38.576064423063194,31734323
2019-01-29,37.806465130079864,37.93839729941383,37.56319646274291,37.73111675923416,28750087
2019-01-30,38.73792411169145,39.08693140302562,38.4850996514305,38.64376770748593,79049347
2019-01-31,38.40899742741606,38.680428321829915,38.143801322526215,38.52175288519123,29689114
2019-02-01,38.621036606225275,39.000365780746336,38.30895751451357,38.580753688420764,32004581
2019-02-04,37.62673989348646,38.17106137849951,37.340813918336465,37.72819043940005,34466478
2019-02-05,37.42880359003178,37.58974629168925,37.003129208247366,37.41783447737588,78370266
2019-02-06,37.453388771717094,37.85738133978974,37.358671614489054,37.5011729021985,39041075
2019-02-07,36.79074429004969,36.95730182408503,36.66344450708086,36.83344679309378,24553939
2019-02-08,37.03949747306238,37.31869026123821,36.88092345788448,37.072204387543174,22229115
2019-02-11,36.7608989553622,37.01505511585536,36.309478018287386,36.73416549398285,45680460
2019-02-12,36.54315772971868,36.880476591725945,36.41839426881529,36.57958002508459,41084035
2019-02-13,36.296019391934394,36.65946088825568,35.95336258565817,36.245413751724726,12326344
2019-02-14,37.331083119866236,37.690529466112146,37.01935395673589,37.35247995336492,55400140
2019-02-15,37.264462001043334,37.63513698097521,37.09664166526426,37.3612231153849,23886255
2019-02-18,36.81336976184981,37.128857596908446,36.3400055056087,36.750799355631905,66435455
2019-02-19,37.20653501279725,37.684890957045596,37.06106650950908,37.254423713713805,44631269
2019-02-20,36.53547537595534,36.66712905018271,36.30321022175422,36.55021968788104,59781286
2019-02-21,36.72989712774701,37.12357193040529,36.31041800828172,36.68907454101879,21488057
2019-02-22,35.536790915895565,35.70684379795265,35.20594317390967,35.57255068694825,26125202
2019-02-25,34.74755758093112,35.20013127590557,34.47994000546928,34.84024957937266,53480786
2019-02-26,34.93944203449753,35.159009886061256,34.564240354032655,34.965892813434614,45183472
2019-02-27,35.491800670722135,35.54570828132682,35.159896693751115,35.39740670726954,37577420
2019-02-28,35.540770350828346,35.757679377575855,35.353016270245604,35.51057193376379,30440505
2019-03-01,35.49736351510731,35.77277873888838,35.04093268126288,35.46087870735694,39354523
2019-03-04,35.33435780713152,35.533304547438654,34.898230963482625,35.30633541861416,43196609
2019-03-05,34.43413571206516,34.61686802967649,34.260307459676035,34.49643790599077,40877053
2019-03-06,34.10003618278579,34.40316855333731,33.958979032881956,34.116753283245906,37631757
2019-03-07,33.932486128326765,34.258290056157,33.57452874778841,33.881472868507515,30239727
2019-03-08,34.39247086110647,34.697253376910616,34.16970395846833,34.47492670193603,77492947
2019-03-11,34.634365710490684,34.85215560212866,34.45055864191181,34.68059089243262,52474638
2019-03-12,33.68587334672686,33.96669460975471,33.40961532769769,33.73114342012293,26419167
2019-03-13,33.90793038096575,34.03829684659706,33.52282883514046,33.92176660939773,49162400
2019-03-14,33.82579379764059,34.07883154124741,33.547021822484595,33.72858086210562,67101200
2019-03-15,33.293642578182514,33.728655913102095,33.16765991915416,33.38026385282673,41074455
2019-03-18,33.72751061347957,34.00336389185712,33.49530919968103,33.7237266101486,59405085
2019-03-19,34.234091357589826,34.511981601861315,34.11743573049843,34.30007825658266,52609292
2019-03-20,34.92902679034277,35.18586778560314,34.62436361786448,34.830662933718926,42191226
2019-03-21,34.30179765204387,34.65635284486477,34.032697129134625,34.38156904555519,29828014
2019-03-22,34.207491777578575,34.58439531304601,33.92514140664128,34.22728863547662,50018575
2019-03-25,34.473804521379805,34.72358370265821,34.05064551072921,34.42466984899003,21712961
2019-03-26,35.024882945067155,35.33385480407238,34.60304914841801,34.98194867005822,31574879
2019-03-27,34.71429815523653,35.02168633825329,34.524996285271776,34.73040014740018,19084970
2019-03-28,34.61106973688427,34.87602349497755,34.494955365508396,34.64297088957547,49823623
2019-03-29,34.029539989867146,34.44617589447982,33.93688593482833,34.05045806232827,40479362
2019-04-01,33.37272119575765,33.68300462897571,33.207942822170914,33.41998850320868,39627659
2019-04-02,33.81265109423024,34.15861869318255,33.52219117879117,33.87253782130031,63867091
2019-04-03,34.627655883433896,34.80379527938626,34.24853502016087,34.63118001515559,79041167
2019-04-04,34.558809917707194,34.905558819374136,34.44476145598976,34.60687185356036,79860685
2019-04-05,35.13798550357881,35.469397371787935,34.943918240853094,35.18285173196649,50869327
2019-04-08,35.4362415112992,35.56804699662899,35.17511041806225,35.40294375470881,41759418
2019-04-09,35.1537162247275,35.17913332105418,34.88105484043608,35.05516829463715,59662128
2019-04-10,35.29626027683462,35.57201416850948,35.074302642979006,35.27432588251813,74981054
2019-04-11,36.07761617882607,36.526527623603386,36.00702242464719,36.16941861926771,10426941
2019-04-12,36.072868204683274,36.44381622401508,35.74927943737018,36.164962220106645,48404656
2019-04-15,37.1989275656325,37.285456509288885,36.90285030776039,37.09844496853616,10386354
2019-04-16,35.54829295589089,35.911859288849996,35.43703118364727,35.5915814039195,38105973
2019-04-17,35.99064250301343,36.21319729193145,35.73891294399186,36.078949270101816,10935709
2019-04-18,36.16697525428315,36.39766432823896,35.92009277306877,36.1454951604101,79594042
2019-04-19,36.01587543773397,36.15005777256526,35.65906313076032,35.989175332364844,76914907
2019-04-22,36.09040399332857,36.22631132928024,35.93646078477081,36.058275027448126,16288893
2019-04-23,34.89657599074177,35.113804412440636,34.5365131304854,34.94534528944263,26328470
2019-04-24,34.73705384509057,35.06417604738435,34.60214110722367,34.838410483224166,38688172
2019-04-25,35.15161404197848,35.17510919628857,34.68569420384737,35.053810677640186,28123581
