,Open,High,Low,Close,Volume
2019-01-01,27.033141454802976,27.103650197636618,26.678985175237912,27.0,73532576
2019-01-02,26.605601919770642,26.86622839091448,26.44665485560622,26.646891088088413,43220247
2019-01-03,26.7483629082082,26.908155915384484,26.61194906357441,26.82241498681052,43461333
2019-01-04,26.586465447510967,26.762468972946547,26.347376520436864,26.620942031504946,65487331
2019-01-07,26.439546883604795,26.639485988977704,26.191581596794,26.44067217294007,24035124
2019-01-08,26.108767436886406,26.294326768073052,25.74960930206804,26.055077924078724,72440785
2019-01-09,25.912488319283316,26.168703910325828,25.786225026741178,25.91111143039148,47984804
2019-01-10,25.92614893468681,26.062397720953,25.73487716697218,25.976155537797432,64780976
2019-01-11,26.178573865441713,26.305969229998933,25.83973881989262,26.10140256755777,49339046
2019-01-14,25.75296559520416,25.948171733455126,25.665838511925806,25.78854247792336,52925597
2019-01-15,26.119514423350115,26.28469417810487,25.740362566924315,26.04368125653448,50120874
2019-01-16,25.74584705396049,25.82123973380102,25.436232849482796,25.6786202185128,15113037
2019-01-17,25.825150366656263,26.068848381330547,25.569807831485303,25.818575690836635,67647329
2019-01-18,25.864401372335777,26.14619472658379,25.678108917563957,25.92787856218871,47517343
2019-01-21,25.6734731577349,25.90258577843266,25.338338784241728,25.643406548999963,60598374
2019-01-22,25.378411082063042,25.626230862472436,25.23500936651536,25.32587746326342,76030178
2019-01-23,25.438554977449297,25.731333525253785,25.33945200505736,25.446906484256782,16971781
2019-01-24,25.241478367960532,25.49189661942987,25.071999049438418,25.28106237450753,51381716
2019-01-25,25.27371434384517,25.50648980772034,25.026278558141627,25.227876679747062,13300057
2019-01-28,25.448277545356273,25.55277404545066,25.256116674229148,25.441396488341155,30851421
2019-01-29,25.54627232252288,25.679393698928504,25.39576324336416,25.592703115629874,21138344
2019-01-30,25.385789348004625,25.51493310133238,25.191223619107234,25.317502174882303,34091433
2019-01-31,25.37382100470917,25.60361621621334,25.113353376574494,25.305784142713808,29507188
2019-02-01,25.008065407268344,25.26298415494508,24.770227138500502,25.028030316089723,34986589
2019-02-04,25.22905402305761,25.440579353788728,25.01831262435294,25.295225862034037,54269492
2019-02-05,25.790811953333968,26.00301241966472,25.67432146135269,25.77058896794037,39748902
2019-02-06,25.487177793359375,25.600868467516328,25.220087242967768,25.5151587266279,38824800
2019-02-07,25.443834924195365,25.69479020397948,25.410159237043814,25.510209132080856,22500177
2019-02-08,25.85790461145856,25.929736117147932,25.64800454571049,25.797259421157047,46801647
2019-02-11,25.88653721741586,25.898256891437104,25.593694576164648,25.809400716015645,19421539
2019-02-12,25.96524434684241,26.12498986340922,25.72048848165708,25.988570828257153,65097674
2019-02-13,26.047545321209267,26.256495769248488,25.769917925877717,26.009351172134703,17065323
2019-02-14,25.61929335172215,25.89069581370596,25.500475045503496,25.686215581971034,32196615
2019-02-15,25.707416150345395,25.810137978437716,25.570891109667816,25.727529092911663,32379264
2019-02-18,26.02138614956705,26.25704594379522,25.931942113936554,26.082614811457795,61075780
2019-02-19,26.116022960042503,26.441708333076384,25.97706871154013,26.185884290614005,69382210
2019-02-20,26.72012946317694,27.01546191471048,26.47531700967112,26.70590199422207,71503852
2019-02-21,26.196271436094634,26.43310272800731,26.01591398759218,26.148884795110845,43804412
2019-02-22,26.265410783080256,26.35200223572494,26.176369538867934,26.272824409082798,67036463
2019-02-25,26.07779225971399,26.203553552008707,25.97571539163994,26.074009581570124,29657190
2019-02-26,25.77061465242589,25.931780334133485,25.624557384567208,25.806114056408042,75819559
2019-02-27,26.26459369657356,26.40358650908532,25.931318497816076,26.22739476138128,68686316
2019-02-28,26.130167724287,26.382412637537687,25.855393419225773,26.151966968259288,41199075
2019-03-01,25.97897311488956,26.160586102098396,25.82841895079749,26.046564101836626,32514277
2019-03-04,26.10638194684449,26.452936431764595,26.01751068764016,26.15888161196887,13516190
2019-03-05,25.43959645415362,25.751245486827187,25.30460010081971,25.496432805602797,77078075
2019-03-06,25.90904502201725,26.094592025025985,25.754334254476998,25.91901692999009,14383527
2019-03-07,26.453751313578977,26.741914203348678,26.40597276686253,26.522942348574478,12883505
2019-03-08,26.86995333707652,27.03187786784659,26.508521556681597,26.82063271639919,41062525
2019-03-11,27.024406044199186,27.18055022190451,26.859051726796462,26.95841101454718,35527307
2019-03-12,26.852680945915907,27.182141703570725,26.650650866326586,26.893279980616697,35744526
2019-03-13,26.550987673050784,26.680780668798473,26.245837927389804,26.553296255376672,31528575
2019-03-14,26.944441677779945,27.187965907523278,26.820632076240916,26.94136016847701,16637661
2019-03-15,27.323429004006215,27.35212493585953,27.146270631151143,27.244148333507546,40889746
2019-03-18,27.325230465327103,27.592039660540976,27.25739312979798,27.3966338334593,53054683
2019-03-19,27.53920117677508,27.751459346836473,27.38055190511867,27.511489013280986,47040363
2019-03-20,27.59031954666771,27.70183038238522,27.501042537746105,27.615875556848327,53173272
2019-03-21,27.447371440137182,27.55611013537338,27.24674525531106,27.44707398871221,37395431
2019-03-22,28.240422075566677,28.396551504927814,28.122231757355777,28.28844999595148,67970563
2019-03-25,28.13925240993158,28.376408919862588,27.931064950953314,28.196732755696917,31027940
2019-03-26,28.01460182800976,28.299014729173688,27.7841328454359,28.057771745911882,61215080
2019-03-27,28.369572907437387,28.783019801299147,28.257306911403102,28.442739813830784,32597187
2019-03-28,28.40002774954895,28.588234499076854,28.284653178983017,28.43789161401002,23017835
2019-03-29,28.46900601608559,28.55663403890562,28.196929846688356,28.43652849957844,36872939
2019-04-01,28.95485360627074,29.123332740152787,28.6856365552648,28.928560680136762,63807752
2019-04-02,29.179887061377453,29.296183457292038,29.070822769123918,29.17034902135265,78206968
2019-04-03,29.343867888428658,29.526893624697138,29.216244995943967,29.432095761459163,39734732
2019-04-04,28.875844438370798,29.174540948420642,28.850430529499015,28.9408255054388,42575717
2019-04-05,29.145333990886506,29.403000564838383,28.962338719136227,29.085498820710797,56895070
2019-04-08,28.70243389675509,29.050704604735913,28.562360418605635,28.741797794477876,36540892
2019-04-09,28.661152784994616,28.70214873067072,28.249708490541586,28.590443091796082,56307574
2019-04-10,28.72032197446094,28.779926742335046,28.388373174813466,28.655924184049834,34519041
2019-04-11,28.58931646456326,28.86120706935044,28.412532400835303,28.64863167436248,15815966
2019-04-12,28.94861509278337,29.06183871149675,28.702746157603226,28.879624204643886,13071219
2019-04-15,29.175561165141737,29.425131857101455,28.907138864467502,29.15320039854192,47741062
2019-04-16,29.47886951247052,29.675420936717654,29.32183140245905,29.45584326616499,22272716
2019-04-17,29.05108220134858,29.0819558201022,28.814817818300416,28.98973762074599,19965976
2019-04-18,29.81179032109078,29.994662922628958,29.56403561881812,29.828782746925096,36099037
2019-04-19,29.867455098949602,30.15681612415069,29.678014191247254,29.825354232028516,47588545
2019-04-22,30.298558133936815,30.4982365255585,29.98743929120919,30.268090693417413,79713507
2019-04-23,29.42162809814872,29.672845867816864,29.037888842363095,29.3737756325302,65734231
2019-04-24,29.313818250857558,29.47956141843908,28.979723595572338,29.285670805852398,19536331
2019-04-25,28.709477918819868,29.043704394062093,28.43732499552898,28.781999092899266,61698487
2019-04-26,28.45572207390783,28.61996684278768,28.36269521117854,28.4911574947885,19966121
2019-04-29,28.588841736386325,28.78813096045824,28.332346441930515,28.513579423867426,68207679
2019-04-30,28.357247018750595,28.690676928461333,28.20939006892134,28.404382639369533,28066425
2019-05-01,28.85620951226065,28.97100996181363,28.686647362945866,28.86101306983595,20836016
2019-05-02,29.460216465640006,29.622629499970536,29.305146681216378,29.485527790521587,64961965
2019-05-03,29.078301862940048,29.35955358356819,28.949214203686246,29.15065985412504,70099654
