,Open,High,Low,Close,Volume
2019-01-01,101.07145846364381,101.47716745198434,100.68251015129835,101.0,73965657
2019-01-02,101.52151912971921,102.20823696573787,100.70532789242328,101.6583026567994,15107367
2019-01-03,100.40458921427047,101.23365133621621,99.86727689870541,100.67582676353994,58234169
2019-01-04,100.41819670966983,101.0754961531658,99.06155466683485,100.17049356938998,75096334
2019-01-07,101.88649263733718,102.1570099783777,100.67137684595626,101.65276941718415,73031817
2019-01-08,102.29435032611684,102.93343305327639,100.82650148398196,102.0062043328315,68762922
2019-01-09,99.11855115004995,99.36810743001719,98.30053927303065,98.98994706777262,30070814
2019-01-10,97.70645667902068,98.0215560420718,97.08799382375044,97.5994557540105,72595435
2019-01-11,99.12244547774941,99.83838882204533,98.07284965530141,99.08736672469509,59353917
2019-01-14,99.58277681455658,100.93430108521515,98.93957642135511,99.80677770716127,61308194
2019-01-15,102.31863317595062,103.61032769036683,101.2949843501885,102.50977167987517,33261692
2019-01-16,105.0497304169631,106.41520695984347,104.71513199869626,105.18259516399975,36563025
2019-01-17,104.9414281008636,105.62335446103036,104.17491829604687,104.69634044069709,16482284
2019-01-18,108.54324023224392,109.74440476068821,107.51347462298179,108.75664064760528,74526828
2019-01-21,109.12717576782666,109.7898571346216,107.90222865642384,108.85099477359024,69254239
2019-01-22,107.35881157354574,108.26787212572474,106.97890619804562,107.344136084569,35377959
2019-01-23,106.5194803643885,106.84188824843251,105.48064272252971,106.38188414047791,63220954
2019-01-24,102.65184862105616,103.7046632335903,102.14504263960112,102.89246605660372,57760082
2019-01-25,105.30942794828437,106.13835196206672,104.52726236024748,105.4555681382927,52617131
2019-01-28,108.3599410526905,108.81723228003865,107.34567268814178,108.0626486411824,79593261
2019-01-29,106.33286840986892,107.30350815907423,106.141893750942,106.48227372203456,43030789
2019-01-30,106.04236112128963,106.61318791196476,105.85108084903143,106.17198327628795,14759575
2019-01-31,106.18451755766033,107.0408359669674,105.84271064760378,106.37753061837921,73950024
2019-02-01,104.67507644179507,105.2831898060324,104.03139508474834,104.9085565198823,68749658
2019-02-04,102.07020018955537,103.44191913874948,101.46194412041375,102.23382073234727,39658741
